Date,Zone Name,Population,Zone Area (sq km),Residential houses,Non-Residential houses,Total garbage weight generation (in Mt),No of Containers
0.00,3.00,765135,19.492,205943,70509,135.952,125
0.00,3.00,765135,19.492,205943,70509,135.105,126
0.00,3.00,765135,19.492,205943,70509,135.038,123
0.00,3.00,765135,19.492,205943,70509,129.318,125
0.00,3.00,765135,19.492,205943,70509,127.614,128
0.00,3.00,765135,19.492,205943,70509,125.586,125
0.00,3.00,765135,19.492,205943,70509,124.001,126
0.00,3.00,765135,19.492,205943,70509,122.902,127
0.00,3.00,765135,19.492,205943,70509,118.858,126
0.00,2.00,1205612,37.525,260011,96238,109,135
0.00,1.00,435607,8.18,108381,84299,108.16,104
0.00,2.00,1205612,37.525,260011,96238,108,137
0.00,1.00,435607,8.18,108381,84299,107.1,102
0.00,1.00,435607,8.18,108381,84299,107.1,102
0.00,1.00,435607,8.18,108381,84299,107.1,102
0.00,1.00,435607,8.18,108381,84299,106.05,101
0.00,2.00,1205612,37.525,260011,96238,106,142
0.00,1.00,435607,8.18,108381,84299,105.04,101
0.00,1.00,435607,8.18,108381,84299,105,100
0.00,2.00,1205612,37.525,260011,96238,105,138
0.00,2.00,1205612,37.525,260011,96238,104,123
0.00,1.00,435607,8.18,108381,84299,101.85,97
0.00,1.00,435607,8.18,108381,84299,99.75,95
0.00,2.00,1205612,37.525,260011,96238,99,130
0.00,2.00,1205612,37.525,260011,96238,98,119
0.00,2.00,1205612,37.525,260011,96238,96,124
0.00,2.00,1205612,37.525,260011,96238,96,127
0.00,5.00,722539,61.764,221107,94793,84.66,123
0.00,5.00,722539,61.764,221107,94793,83.52,123
0.00,5.00,722539,61.764,221107,94793,83.52,123
0.00,5.00,722539,61.764,221107,94793,79.79,123
0.00,5.00,722539,61.764,221107,94793,77.63,121
0.00,5.00,722539,61.764,221107,94793,77.63,110
0.00,5.00,722539,61.764,221107,94793,76.59,117
0.00,5.00,722539,61.764,221107,94793,75.55,123
0.00,5.00,722539,61.764,221107,94793,75.28,123
0.00,4.00,728827,36.363,185391,67431,65,114
0.00,4.00,728827,36.363,185391,67431,64,119
0.00,0.00,372097,111.912,120622,49681,62,80
0.00,4.00,728827,36.363,185391,67431,60,114
0.00,4.00,728827,36.363,185391,67431,58,112
0.00,0.00,372097,111.912,120622,49681,57.38,80
0.00,0.00,372097,111.912,120622,49681,56.63,82
0.00,0.00,372097,111.912,120622,49681,54.24,82
0.00,4.00,728827,36.363,185391,67431,53,118
0.00,0.00,372097,111.912,120622,49681,52.13,77
0.00,0.00,372097,111.912,120622,49681,52,81
0.00,0.00,372097,111.912,120622,49681,51.99,72
0.00,4.00,728827,36.363,185391,67431,50,104
0.00,0.00,372097,111.912,120622,49681,46.74,74
0.00,0.00,372097,111.912,120622,49681,45.92,80
0.00,6.00,440892,51.279,146604,38579,45.27,88
0.00,6.00,440892,51.279,146604,38579,45.1,87
0.00,6.00,440892,51.279,146604,38579,44.83,87
0.00,6.00,440892,51.279,146604,38579,44.33,87
0.00,6.00,440892,51.279,146604,38579,44.15,87
0.00,4.00,728827,36.363,185391,67431,44,118
0.00,4.00,728827,36.363,185391,67431,43,120
0.00,4.00,728827,36.363,185391,67431,43,117
0.00,6.00,440892,51.279,146604,38579,42.68,87
0.00,6.00,440892,51.279,146604,38579,42.46,88
0.00,6.00,440892,51.279,146604,38579,41.98,87
0.00,6.00,440892,51.279,146604,38579,41.96,87
1.00,3.00,765135,19.492,205943,70509,135.723,128
1.00,3.00,765135,19.492,205943,70509,131.372,126
1.00,3.00,765135,19.492,205943,70509,130.99,135
1.00,3.00,765135,19.492,205943,70509,130.856,130
1.00,2.00,1205612,37.525,260011,96238,129,142
1.00,3.00,765135,19.492,205943,70509,128.213,128
1.00,2.00,1205612,37.525,260011,96238,128,140
1.00,3.00,765135,19.492,205943,70509,127.321,127
1.00,3.00,765135,19.492,205943,70509,126.646,130
1.00,3.00,765135,19.492,205943,70509,125.694,128
1.00,3.00,765135,19.492,205943,70509,125.414,128
1.00,3.00,765135,19.492,205943,70509,125.398,130
